Time: 2025-04-07 20:39:10, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:10, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:39:07, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:47, Event ID: 4634, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:47, Event ID: 4634, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:47, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:47, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:47, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:47, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:47, Event ID: 4648, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:47, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:43, Event ID: 4625, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:40, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:40, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:39, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:38:39, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:33:18, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:33:18, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:33:17, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:33:17, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:29:50, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:29:50, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:29:50, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:29:50, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:29:50, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:29:50, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
